redshift,system_number,BH1_id,BH1_halo_pynbody,BH1_mass,BH1_mdot,BH1_Lbol,BH1_x,BH1_y,BH1_z,BH2_id,BH2_halo_pynbody,BH2_mass,BH2_mdot,BH2_Lbol,BH2_x,BH2_y,BH2_z,BH3_id,BH3_halo_pynbody,BH3_mass,BH3_mdot,BH3_Lbol,BH3_x,BH3_y,BH3_z,separation_BH1_BH2_kpc,separation_BH1_BH3_kpc,separation_BH2_BH3_kpc,Halo1_Mvir,Halo1_M200,Halo2_Mvir,Halo2_M200,Halo3_Mvir,Halo3_M200
1.79,1,1981808997.0,103286.0,126468300.48,0.005041025615751735,2.861109687621174e+43,1763.1053466796875,-3680.5517578125,2565.634033203125,1981810104.0,103286.0,159693387.96,0.09135321332778562,5.184888623274225e+44,1766.5142822265625,-3671.13623046875,2537.597412109375,1981870146.0,103286.0,7335331.866,0.004622093940568372,2.6233387327239835e+43,1760.00048828125,-3682.503662109375,2559.00146484375,29.771212925881258,7.5789866803082155,25.095447537794143,,,,,,
1.79,2,1981810910.0,50756.0,11513416.284,0.004245189883138246,2.409421182563657e+43,-1931.361083984375,920.5409545898438,39.1558837890625,1981817577.0,50756.0,31876515.449999996,0.173672038353744,9.857016989760215e+44,-1933.0765380859375,920.682861328125,36.75708770751953,1982667197.0,50756.0,3757145.967,0.0024664895592358318,1.3998931388674898e+43,-1931.5467529296875,918.67431640625,38.5858268737793,2.9524808107358003,1.9605550113082344,3.1174961532751166,,,,,,
1.9,0,1981808997.0,103479.0,119169724.32,0.005310450536822112,3.01402584209425e+43,1676.8731689453125,-3507.278076171875,2469.078857421875,1981815280.0,103479.0,13097854.020000001,0.004525799919494962,2.5686856169587613e+43,1675.187255859375,-3513.19189453125,2468.70068359375,1982097852.0,103479.0,9537926.508,0.0025726623351571944,1.460153090096669e+43,1678.6439208984375,-3509.99609375,2470.89404296875,6.16105234235961,3.7172678951181855,5.193505672820186,,,,,,
1.9,1,1981810590.0,58948.0,37333125.0,0.07436480634215535,4.220686107580606e+44,-3451.9111328125,2134.29541015625,2768.4482421875,1982495406.0,58948.0,10735772.268000001,0.006069474557958265,3.4448213082438463e+43,-3452.787109375,2134.7958984375,2771.1953125,1982599482.0,58948.0,4259281.476,0.003013725853971927,1.710485304754327e+43,-3452.139404296875,2132.728515625,2769.110107421875,2.9264686500177555,1.7161969383244444,3.0069376081800585,,,,,,
1.9,2,1981814060.0,62831.0,204557649.6,0.01118506760895227,6.348252862011878e+43,-3934.030517578125,3460.014892578125,3906.541748046875,1981860970.0,62831.0,6805261.223999999,0.0019460479567031607,1.1045087023761345e+43,-3934.45654296875,3457.156005859375,3909.696533203125,1981871678.0,62831.0,39815827.59,0.003974339408158826,2.255695933590715e+43,-3936.34912109375,3450.999755859375,3905.561279296875,4.278714793743287,9.36001769710665,7.65386117530782,,,,,,
2.0,0,1981808889.0,123032.0,103970264.25,0.007067600681229957,4.0113227582339094e+43,-2798.07763671875,-1359.5223388671875,3310.086181640625,1981808959.0,123032.0,80100559.23,0.008087420016161005,4.590136515830633e+43,-2800.9521484375,-1362.4140625,3312.292236328125,1982646574.0,123032.0,30944481.539999995,0.007816707805607547,4.4364897409061735e+43,-2801.878173828125,-1366.5240478515625,3325.637451171875,4.635899100933726,17.47312207521022,13.99443681753524,,,,,,
2.0,1,1981810590.0,59864.0,29260210.05,0.01883075662286287,1.0687678322950802e+44,-3331.16357421875,2073.642333984375,2677.71533203125,1981838687.0,59864.0,14046633.081,0.010802504245535405,6.131123287867131e+43,-3332.55126953125,2073.421630859375,2680.34912109375,1982777836.0,59864.0,2608062.2460000003,0.0020629338417670674,1.170849039361835e+43,-3330.164306640625,2074.809814453125,2674.621826171875,2.98517218522883,3.454174986822755,6.35818784350641,,,,,,
2.0,2,1981814060.0,62992.0,197317412.67000002,0.5249947931117226,2.9796866808791844e+45,-3777.872314453125,3324.59619140625,3785.55810546875,1981871678.0,62992.0,15786316.884,0.058169751097210114,3.301511459705638e+44,-3784.724365234375,3332.189453125,3780.431640625,1982238544.0,62992.0,143984405.39999998,0.18149113002876466,1.0300801263934423e+45,-3779.716552734375,3326.8701171875,3787.08203125,11.440667167279523,3.3006519179428477,9.879332786996455,,,,,,
2.01,0,1981808889.0,123025.0,103594543.67999999,0.011328910289339692,6.4298929324499e+43,-2787.454833984375,-1358.9488525390625,3294.9111328125,1981808959.0,123025.0,79726232.42999999,0.1495653973005492,8.48880842446776e+44,-2786.80029296875,-1358.1871337890625,3294.720703125,1982646574.0,123025.0,30699178.02,0.0074740980935545055,4.2420364607710597e+43,-2781.370361328125,-1357.1728515625,3307.738037109375,1.0222049017287662,14.307496664846553,14.140859596140023,,,,,,
2.01,1,1984091145.0,123026.0,1432982.7234,0.001769570104050179,1.0043460504946817e+43,-2794.201904296875,-1322.5777587890625,3276.067626953125,1981808707.0,123030.0,6664291.3440000005,0.004044310743172608,2.295409214125963e+43,-2795.756103515625,-1319.4263916015625,3257.219970703125,2000729893.0,123026.0,1615086.7382999999,0.0022243074978185455,1.2624390779470444e+43,-2795.099365234375,-1323.9031982421875,3274.338623046875,19.17239673280779,2.356200412967122,17.706534413424347,,,,,,
