redshift,BH1_id,BH2_id,BH3_id,BH1_halo,BH2_halo,BH3_halo,num_unique_halos,config_type,BH1_mass,BH2_mass,BH3_mass,BH1_Lbol,BH2_Lbol,BH3_Lbol,sep_BH1_BH2_kpc,sep_BH1_BH3_kpc,sep_BH2_BH3_kpc,min_separation,max_separation,mean_separation,Halo1_Mvir,Halo1_M200,Halo1_Rvir,Halo1_R200
2.25,1981810104.0,1982791659.0,1983245690.0,102652.0,102652.0,102652.0,1,All in same halo,35292446.61,1416066.3377999999,5054327.706,1.530492897553281e+43,1.4553526431309065e+43,2.2832890326379976e+43,3.226058929901362,15.008990139308972,16.601589431292062,3.226058929901362,16.601589431292062,11.612212833500799,,,,
2.25,1981810910.0,1981817577.0,1983190865.0,43942.0,43942.0,43942.0,1,All in same halo,10524476.736,19765868.721,2774239.4519999996,1.2829938666459912e+43,6.110368255044472e+43,1.6473542857513742e+43,6.687057056610392,10.770091393917571,4.372838068410431,4.372838068410431,10.770091393917571,7.2766621729794645,,,,
2.25,1981833522.0,1982128028.0,1982304487.0,100787.0,100787.0,100787.0,1,All in same halo,7135584.714,25875539.16,3319064.145,1.1185907350761504e+43,3.2289364948681254e+44,3.5113618893532585e+43,0.6474950818801107,2.428091111216701,2.0101933334672046,0.6474950818801107,2.428091111216701,1.6952598421880054,,,,
2.38,1981808889.0,1981808959.0,1982102827.0,121567.0,121567.0,121567.0,1,All in same halo,71087645.97,63290896.589999996,9109262.589,2.1427095397866306e+44,1.1105539101109222e+43,3.845336615686068e+43,9.583033033862774,8.512157533040332,1.1425157904942336,1.1425157904942336,9.583033033862774,6.412568785799113,,,,
2.38,1981984676.0,1982443965.0,1983265601.0,90076.0,90076.0,90076.0,1,All in same halo,8050495.164,2599819.0919999997,4760461.257,2.0902482853755612e+43,1.3255673909483256e+43,1.3222579509037214e+43,1.6197178778715406,2.376835200296979,1.0891468681072787,1.0891468681072787,2.376835200296979,1.6952333154252661,,,,
2.5,1982593032.0,1982614376.0,1983197252.0,61183.0,61183.0,61183.0,1,All in same halo,7424632.701,3011140.5300000003,1301709.5004,3.428666478263236e+43,1.5047236436327872e+43,1.7814258445820774e+43,0.8924617900202328,0.7457800799987426,1.0649262103186372,0.7457800799987426,1.0649262103186372,0.9010560267792043,,,,
2.51,1981808887.0,1982096562.0,1982294342.0,105928.0,105928.0,105928.0,1,All in same halo,65345313.57,16300578.191999998,1399177.8276,2.2187265387506657e+44,1.1628717464333864e+43,2.707300552596406e+43,2.7057964404092174,1.7792219571233507,3.5195644474474967,1.7792219571233507,3.5195644474474967,2.6681942816600213,,,,
2.52,1981808887.0,1982096562.0,1982209764.0,105842.0,105842.0,105842.0,1,All in same halo,65053418.31,16168807.193999998,4229335.3319999995,8.622106066820329e+43,3.746919334882922e+43,6.342651438551263e+43,2.293558477050852,1.3354747930166626,1.6922532883357289,1.3354747930166626,2.293558477050852,1.7737621861344144,,,,
2.52,1981839323.0,1982125023.0,1983117804.0,118178.0,118178.0,118178.0,1,All in same halo,5965455.066000001,4770098.181000001,1170553.7523,1.2809264813687405e+44,2.2909280753574723e+44,1.9240754287123667e+43,0.5364396375959986,1.7574468317101901,1.2447736438207304,0.5364396375959986,1.7574468317101901,1.1795533710423063,,,,
2.52,1981890562.0,1982041737.0,1982433018.0,114145.0,114145.0,114145.0,1,All in same halo,30319077.03,15865980.795,5744403.144,5.348141704133553e+43,2.2449666369620517e+43,1.9975569041099314e+43,0.8010660854482083,2.1918023152815853,1.5704455378809556,0.8010660854482083,2.1918023152815853,1.521104646203583,,,,
